id,timestamp,vehicle_id,latitude,longitude,altitude,speed,rpm,engine_temp,throttle_pos,engine_load,fuel_level,fl_pressure,fl_temp,fl_battery,fr_pressure,fr_temp,fr_battery,rl_pressure,rl_temp,rl_battery,rr_pressure,rr_temp,rr_battery
92,2025-11-07 04:19:32+00,4d106730-1088-4892-9045-ffeebc4d23bc,-6.972861833,107.647147,695.2,0,702,91,15.68627,28.62745,,,,,26.83104,35,101,25.96084,32,113,25.96084,33,109
93,2025-11-07 04:19:37+00,4d106730-1088-4892-9045-ffeebc4d23bc,-6.972861,107.6471453,694.9,0,703,92,15.29412,28.23529,,,,,26.83104,35,101,25.96084,32,113,25.96084,33,109
94,2025-11-07 04:19:42+00,4d106730-1088-4892-9045-ffeebc4d23bc,-6.972860167,107.6471425,694.6,0,703,91,15.29412,29.01961,,,,,26.83104,35,101,25.96084,32,113,25.96084,33,109
95,2025-11-07 04:20:41+00,4d106730-1088-4892-9045-ffeebc4d23bc,-6.972862833,107.647139,695.6,1,873,91,17.64706,56.07843,,,,,,,,,,,,,
96,2025-11-07 04:20:46+00,4d106730-1088-4892-9045-ffeebc4d23bc,-6.972857333,107.6471172,695,3,967,90,18.82353,48.62745,,,,,,,,,,,,,
97,2025-11-07 04:20:51+00,4d106730-1088-4892-9045-ffeebc4d23bc,-6.972841667,107.6470605,694.6,4,623,90,16.86275,50.19608,,,,,,,,,,,,,
98,2025-11-07 04:20:56+00,4d106730-1088-4892-9045-ffeebc4d23bc,-6.9728255,107.6470003,694.2,7,1111,88,18.43137,46.66667,,,,,,,,,,,,,
99,2025-11-07 04:21:01+00,4d106730-1088-4892-9045-ffeebc4d23bc,-6.972797333,107.6469017,694.7,9,1297,87,18.43137,38.43137,,,,,,,,,,,,,
100,2025-11-07 04:21:06+00,4d106730-1088-4892-9045-ffeebc4d23bc,-6.972770167,107.646792,695,9,1314,87,16.86275,29.41176,,,,,,,,,,,,,
101,2025-11-07 04:21:11+00,4d106730-1088-4892-9045-ffeebc4d23bc,-6.972765833,107.6467097,694.7,7,1078,87,18.03922,43.13726,,,,,,,,,,,,,
102,2025-11-07 04:21:16+00,4d106730-1088-4892-9045-ffeebc4d23bc,-6.972818667,107.6466415,694.5,5,828,86,17.64706,53.33333,,,,,,,,,,,,,
103,2025-11-07 04:21:21+00,4d106730-1088-4892-9045-ffeebc4d23bc,-6.97289,107.646596,694.5,6,897,86,17.64706,44.31372,,,,,,,,,,,,,
104,2025-11-07 04:21:26+00,4d106730-1088-4892-9045-ffeebc4d23bc,-6.972959167,107.6465798,694.5,7,1090,85,18.03922,48.62745,,,,,,,,,,,,,
105,2025-11-07 04:21:31+00,4d106730-1088-4892-9045-ffeebc4d23bc,-6.973071333,107.646569,694.1,11,1624,85,19.21569,39.21569,,,,,,,,,,,,,
106,2025-11-07 04:21:36+00,4d106730-1088-4892-9045-ffeebc4d23bc,-6.9732195,107.6465578,693.1,11,1619,85,17.2549,28.23529,,,,,,,,,,,,,
107,2025-11-07 04:21:41+00,4d106730-1088-4892-9045-ffeebc4d23bc,-6.973314667,107.6465155,692,9,1435,85,19.21569,44.31372,,,,,,,,,,,,,
108,2025-11-07 04:21:46+00,4d106730-1088-4892-9045-ffeebc4d23bc,-6.973317,107.6463735,693.1,14,2067,85,20.39216,41.17647,,,,,,,,,,,,,
109,2025-11-07 04:21:51+00,4d106730-1088-4892-9045-ffeebc4d23bc,-6.973293667,107.6462192,692.8,7,1121,84,16.86275,25.88235,,,,,,,,,,,,,
110,2025-11-07 04:21:56+00,4d106730-1088-4892-9045-ffeebc4d23bc,-6.973281,107.6461258,692.7,5,745,84,16.86275,40,,,,,,,,,,,,,
111,2025-11-07 04:22:01+00,4d106730-1088-4892-9045-ffeebc4d23bc,-6.97327,107.6460473,692.1,9,1458,84,20,50.58823,,,,,,,,,,,,,
112,2025-11-07 04:22:06+00,4d106730-1088-4892-9045-ffeebc4d23bc,-6.973251167,107.6458895,692.7,12,1717,85,17.64706,23.52941,,,,,,,,,,,,,
113,2025-11-07 04:22:11+00,4d106730-1088-4892-9045-ffeebc4d23bc,-6.973242833,107.6457732,692.5,8,1245,85,16.86275,25.88235,,,,,,,,,,,,,
114,2025-11-07 04:22:16+00,4d106730-1088-4892-9045-ffeebc4d23bc,-6.973300833,107.6457072,692.8,5,757,85,16.86275,37.64706,,,,,,,,,,,,,
115,2025-11-07 04:22:21+00,4d106730-1088-4892-9045-ffeebc4d23bc,-6.9733775,107.6456888,692.2,9,1399,85,19.21569,42.7451,,,,,,,,,,,,,
