timestamp,latitude,longitude,altitude,speed,engine_load,fl_pressure,fl_temp,fr_pressure,fr_temp,rl_pressure,rl_temp,rr_pressure,rr_temp,distance_traveled_m,sum_distance_traveled_m,elevation_traveled_m,tr_fl,tr_fr,tr_rl,tr_rr
2025-11-21 07:20:01+00,-6.961547167,107.709784,680.2,12,40.0,26.97607,38.0,29.44162,39.0,30.16679,33.0,24.22045,34.0,16.15297282186604,483.2589787279497,0.5,2.3250621929621956e-06,1.2775066969028465e-06,4.445723216307437e-06,1.4308074974652236e-06
2025-11-21 07:21:45+00,-6.961675667,107.7098725,690.6,2,75.29412,26.97607,38.0,29.44162,39.0,30.16679,32.0,24.22045,34.0,17.308413621729095,500.56739234967876,10.399999999999977,2.3250621929621956e-06,1.2775066969028465e-06,4.445723216307437e-06,1.4308074974652236e-06
2025-11-21 07:21:50+00,-6.961622833,107.7098812,689.3,7,50.98039,26.97607,38.0,29.44162,39.0,30.16679,32.0,24.22045,34.0,5.952842532546307,506.52023488222505,-1.3000000000000682,2.3250621929621956e-06,1.2775066969028465e-06,4.445723216307437e-06,1.4308074974652236e-06
2025-11-21 07:21:55+00,-6.961497833,107.7099105,687.6,17,68.23529,26.97607,38.0,29.44162,39.0,30.16679,32.0,24.22045,34.0,14.270656577911605,520.7908914601367,-1.6999999999999318,2.3250621929621956e-06,1.2775066969028465e-06,4.445723216307437e-06,1.4308074974652236e-06
2025-11-21 07:22:00+00,-6.961257167,107.7099577,686.2,25,72.54902,26.97607,38.0,29.44162,39.0,30.16679,32.0,24.22045,34.0,27.26326449371481,548.0541559538515,-1.3999999999999773,2.3250621929621956e-06,1.2775066969028465e-06,4.445723216307437e-06,1.4308074974652236e-06
2025-11-21 07:22:05+00,-6.960945167,107.7100172,685.4,27,77.25491,26.97607,38.0,29.44162,39.0,30.16679,32.0,24.22045,34.0,35.308990480227436,583.3631464340789,-0.8000000000000682,2.3250621929621956e-06,1.2775066969028465e-06,4.445723216307437e-06,1.4308074974652236e-06
2025-11-21 07:22:10+00,-6.960592333,107.7100903,684.9,31,70.98039,26.97607,38.0,29.44162,39.0,30.16679,32.0,24.22045,34.0,40.054462115969535,623.4176085500484,-0.5,2.3250621929621956e-06,1.2775066969028465e-06,4.445723216307437e-06,1.4308074974652236e-06
2025-11-21 07:22:15+00,-6.960174667,107.7101732,683.8,34,50.98039,26.97607,38.0,29.44162,39.0,30.16679,32.0,24.22045,34.0,47.33520808768256,670.7528166377309,-1.1000000000000227,2.3250621929621956e-06,1.2775066969028465e-06,4.445723216307437e-06,1.4308074974652236e-06
2025-11-21 07:22:20+00,-6.959837167,107.710228,681.9,20,50.19608,26.97607,38.0,29.58666,39.0,30.16679,32.0,24.22045,34.0,38.01265158170509,708.765468219436,-1.8999999999999773,2.3250621929621956e-06,1.2775066969028465e-06,4.445723216307437e-06,1.4308074974652236e-06
2025-11-21 07:22:25+00,-6.959721333,107.7102517,680.2,9,74.5098,26.97607,38.0,29.58666,39.0,30.16679,32.0,23.78535,25.0,13.143126017750534,721.9085942371865,-1.6999999999999318,2.3250621929621956e-06,1.2775066969028465e-06,4.445723216307437e-06,1.4308074974652236e-06
2025-11-21 07:22:30+00,-6.959540167,107.7102862,680.5,19,53.72549,26.97607,37.0,29.58666,39.0,30.16679,32.0,23.78535,25.0,20.50151858153517,742.4101128187217,0.2999999999999545,2.3250621929621956e-06,1.2775066969028465e-06,4.445723216307437e-06,1.4308074974652236e-06
2025-11-21 07:22:35+00,-6.959324833,107.7103255,679.6,11,54.5098,26.97607,37.0,29.58666,39.0,30.16679,32.0,23.78535,25.0,24.333829934585047,766.7439427533068,-0.8999999999999773,2.3250621929621956e-06,1.2775066969028465e-06,4.445723216307437e-06,1.4308074974652236e-06
2025-11-21 07:22:40+00,-6.959298833,107.7104228,680.4,8,52.15686,26.97607,37.0,29.58666,39.0,30.16679,32.0,23.78535,25.0,11.121899768438304,777.8658425217451,0.7999999999999545,2.3250621929621956e-06,1.2775066969028465e-06,4.445723216307437e-06,1.4308074974652236e-06
2025-11-21 07:22:45+00,-6.959418833,107.7104003,680.3,18,85.88235,26.97607,37.0,29.58666,39.0,30.16679,32.0,23.78535,25.0,13.572550808738482,791.4383933304836,-0.10000000000002274,2.3250621929621956e-06,1.2775066969028465e-06,4.445723216307437e-06,1.4308074974652236e-06
2025-11-21 07:22:50+00,-6.9596715,107.710348,681.1,26,42.35294,26.97607,37.0,29.58666,39.0,30.16679,32.0,23.78535,25.0,28.68224102219558,820.1206343526792,0.8000000000000682,2.3250621929621956e-06,1.2775066969028465e-06,4.445723216307437e-06,1.4308074974652236e-06
2025-11-21 07:22:55+00,-6.9599815,107.7102947,680.9,25,42.35294,26.97607,37.0,29.58666,39.0,30.16679,32.0,23.78535,25.0,34.96889522884973,855.089529581529,-0.20000000000004547,2.3250621929621956e-06,1.2775066969028465e-06,4.445723216307437e-06,1.4308074974652236e-06
2025-11-21 07:23:00+00,-6.960226,107.710252,681.6,10,49.01961,26.97607,37.0,29.58666,39.0,30.16679,32.0,23.78535,25.0,27.592688141210274,882.6822177227392,0.7000000000000455,2.3250621929621956e-06,1.2775066969028465e-06,4.445723216307437e-06,1.4308074974652236e-06
2025-11-21 07:23:05+00,-6.960377333,107.710227,681.5,20,80.39216,26.97607,37.0,29.58666,39.0,30.16679,32.0,23.78535,25.0,17.052228265047095,899.7344459877863,-0.10000000000002274,2.3250621929621956e-06,1.2775066969028465e-06,4.445723216307437e-06,1.4308074974652236e-06
2025-11-21 07:23:10+00,-6.9606695,107.7101813,681.7,30,85.4902,26.97607,37.0,29.58666,39.0,30.16679,32.0,23.78535,25.0,32.876790931264026,932.6112369190504,0.20000000000004547,2.3250621929621956e-06,1.2775066969028465e-06,4.445723216307437e-06,1.4308074974652236e-06
2025-11-21 07:23:15+00,-6.961088167,107.7101133,681.5,39,77.64706,26.97607,37.0,29.58666,39.0,30.16679,32.0,23.78535,25.0,47.15486180599978,979.7660987250501,-0.20000000000004547,2.3250621929621956e-06,1.2775066969028465e-06,4.445723216307437e-06,1.4308074974652236e-06
2025-11-21 07:23:20+00,-6.961574,107.7100272,681.8,39,45.88235,26.97607,37.0,29.58666,39.0,30.16679,32.0,23.78535,25.0,54.85175867301191,1034.6178573980621,0.2999999999999545,2.3250621929621956e-06,1.2775066969028465e-06,4.445723216307437e-06,1.4308074974652236e-06
2025-11-21 07:23:25+00,-6.962046333,107.709943,681.1,38,62.7451,26.97607,37.0,29.58666,39.0,30.16679,32.0,23.78535,25.0,53.33701806586881,1087.9548754639309,-0.6999999999999318,2.3250621929621956e-06,1.2775066969028465e-06,4.445723216307437e-06,1.4308074974652236e-06
2025-11-21 07:23:30+00,-6.962518167,107.709856,681.8,38,53.72549,26.97607,37.0,29.58666,39.0,30.16679,32.0,23.78535,25.0,53.33715289262557,1141.2920283565563,0.6999999999999318,2.3250621929621956e-06,1.2775066969028465e-06,4.445723216307437e-06,1.4308074974652236e-06
2025-11-21 07:23:35+00,-6.9629885,107.7097857,682.9,36,41.56863,26.97607,37.0,29.58666,39.0,30.16679,32.0,23.78535,25.0,52.87119636902153,1194.163224725578,1.1000000000000227,2.3250621929621956e-06,1.2775066969028465e-06,4.445723216307437e-06,1.4308074974652236e-06
2025-11-21 07:23:40+00,-6.963413167,107.7097338,683.8,28,45.09804,26.97607,37.0,29.58666,39.0,30.16679,32.0,23.78535,25.0,47.567077440650365,1241.7303021662283,0.8999999999999773,2.3250621929621956e-06,1.2775066969028465e-06,4.445723216307437e-06,1.4308074974652236e-06
