timestamp,latitude,longitude,altitude,speed,engine_load,fl_pressure,fl_temp,fr_pressure,fr_temp,rl_pressure,rl_temp,rr_pressure,rr_temp,distance_traveled_m,sum_distance_traveled_m,elevation_traveled_m,tr_fl,tr_fr,tr_rl,tr_rr
2025-11-14 05:37:22+00,-6.911700167,107.6583197,683.9,23,49.01961,27.41117,35.0,28.86149,35.0,29.58666,35.0,24.22045,33.0,13.843317863536104,381.67265645446224,1.6000000000000227,5.968783039934295e-07,1.526897986959939e-06,2.151538072534453e-06,1.4436126422166665e-06
2025-11-14 05:37:27+00,-6.911971833,107.658457,685.3,19,50.98039,27.41117,35.0,28.86149,35.0,29.58666,35.0,24.22045,33.0,33.79684747946436,415.4695039339266,1.3999999999999773,5.968783039934295e-07,1.526897986959939e-06,2.151538072534453e-06,1.4436126422166665e-06
2025-11-14 05:37:32+00,-6.912187,107.65859,683.5,13,53.72549,27.41117,35.0,28.86149,35.0,29.58666,35.0,24.22045,33.0,28.070898973403203,443.5404029073298,-1.7999999999999545,5.968783039934295e-07,1.526897986959939e-06,2.151538072534453e-06,1.4436126422166665e-06
2025-11-14 05:37:37+00,-6.912327,107.6587153,681.8,16,81.56863,27.41117,35.0,28.86149,35.0,29.58666,35.0,24.22045,33.0,20.82428585650996,464.36468876383975,-1.7000000000000455,5.968783039934295e-07,1.526897986959939e-06,2.151538072534453e-06,1.4436126422166665e-06
2025-11-14 05:37:42+00,-6.912366,107.6589035,684.2,16,58.82353,27.41117,35.0,28.86149,35.0,29.58666,35.0,24.22045,33.0,21.222599007522295,485.58728777136207,2.400000000000091,5.968783039934295e-07,1.526897986959939e-06,2.151538072534453e-06,1.4436126422166665e-06
2025-11-14 05:37:47+00,-6.912399333,107.6591247,684.8,9,49.01961,27.41117,35.0,28.86149,35.0,29.58666,35.0,24.22045,33.0,24.697279048646532,510.2845668200086,0.599999999999909,5.968783039934295e-07,1.526897986959939e-06,2.151538072534453e-06,1.4436126422166665e-06
2025-11-14 05:37:52+00,-6.9124605,107.659211,685.0,5,49.41177,27.41117,35.0,28.86149,35.0,29.58666,35.0,24.22045,33.0,11.70521127150594,521.9897780915145,0.20000000000004547,5.968783039934295e-07,1.526897986959939e-06,2.151538072534453e-06,1.4436126422166665e-06
2025-11-14 05:37:57+00,-6.912531333,107.6592142,686.9,7,85.09804,27.41117,35.0,28.86149,35.0,29.58666,35.0,24.22045,33.0,7.884198196614221,529.8739762881287,1.8999999999999773,5.968783039934295e-07,1.526897986959939e-06,2.151538072534453e-06,1.4436126422166665e-06
2025-11-14 05:38:02+00,-6.9126185,107.6592143,688.3,18,43.13726,27.41117,35.0,28.86149,35.0,29.58666,35.0,24.22045,33.0,9.69254784460447,539.5665241327332,1.3999999999999773,5.968783039934295e-07,1.526897986959939e-06,2.151538072534453e-06,1.4436126422166665e-06
2025-11-14 05:38:07+00,-6.912818667,107.6592618,688.3,9,51.76471,27.41117,35.0,28.86149,35.0,29.58666,35.0,24.22045,33.0,22.86685506234504,562.4333791950783,0.0,5.968783039934295e-07,1.526897986959939e-06,2.151538072534453e-06,1.4436126422166665e-06
